sample_id,created_date,agency,complaint_type,descriptor,borough,incident_zip,latitude,longitude,location_type,street_name,status,resolution_description,request_month,request_hour,feature_text,maintenance_group
REQ-00001,2026-03-23 02:07:00,DOT,Street Condition,Pothole,QUEENS,11432,,,,GRAND CENTRL PARKWAY,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,2,pothole |  | grand centrl parkway | queens | dot | closed,pavement_surface
REQ-00012,2026-03-23 00:53:18,DOT,Street Condition,Pothole,MANHATTAN,10011,,,,WEST   17 STREET,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,0,pothole |  | west   17 street | manhattan | dot | open,pavement_surface
REQ-00013,2026-03-23 00:53:00,DOT,Street Light Condition,Street Light Out,BRONX,10451,40.81358895557613,-73.93104615834683,,,Open,,3,0,street light out |  |  | bronx | dot | open,lighting
REQ-00014,2026-03-23 00:50:14,DOT,Street Condition,Cave-in,MANHATTAN,10009,40.727371694401256,-73.985441988989,Street,FIRST AVENUE,In Progress,,3,0,cave-in | street | first avenue | manhattan | dot | in progress,pavement_surface
REQ-00015,2026-03-23 00:47:26,DOT,Street Condition,Cave-in,MANHATTAN,10009,40.726682822400264,-73.98594002913443,Street,FIRST AVENUE,In Progress,,3,0,cave-in | street | first avenue | manhattan | dot | in progress,pavement_surface
REQ-00016,2026-03-23 00:46:23,DOT,Street Condition,Pothole,BROOKLYN,11221,,,,JEFFERSON AVENUE,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,0,pothole |  | jefferson avenue | brooklyn | dot | open,pavement_surface
REQ-00017,2026-03-23 00:38:39,DOT,Street Condition,Pothole,QUEENS,11357,,,,CROSS ISLAND PARKWAY,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,0,pothole |  | cross island parkway | queens | dot | open,pavement_surface
REQ-00018,2026-03-23 00:38:31,DOT,Street Condition,Pothole,BRONX,10457,,,,EAST  174 STREET,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,0,pothole |  | east  174 street | bronx | dot | closed,pavement_surface
REQ-00019,2026-03-23 00:35:27,DOT,Street Condition,Failed Street Repair,BRONX,10466,40.89424872030681,-73.84880970387182,Street,BUSSING AVENUE,In Progress,,3,0,failed street repair | street | bussing avenue | bronx | dot | in progress,pavement_surface
REQ-00020,2026-03-23 00:26:10,DOT,Street Condition,Pothole,BROOKLYN,11224,,,,NEPTUNE AVENUE,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,0,pothole |  | neptune avenue | brooklyn | dot | open,pavement_surface
REQ-00021,2026-03-23 00:21:40,DOT,Street Condition,Pothole,BROOKLYN,11220,,,,WAKEMAN PLACE,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,0,pothole |  | wakeman place | brooklyn | dot | closed,pavement_surface
REQ-00022,2026-03-23 00:18:46,DOT,Street Condition,Pothole,BRONX,10472,40.82950193743216,-73.87460889175321,,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,0,pothole |  |  | bronx | dot | closed,pavement_surface
REQ-00023,2026-03-23 00:18:29,DOT,Street Condition,Pothole,BROOKLYN,11237,40.69942773009148,-73.91230985742006,,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,0,pothole |  |  | brooklyn | dot | closed,pavement_surface
REQ-00024,2026-03-23 00:10:38,DOT,Street Condition,Pothole,QUEENS,11420,40.67227823545444,-73.8044924214824,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,0,pothole |  |  | queens | dot | open,pavement_surface
REQ-00025,2026-03-23 00:09:46,DOT,Street Condition,Pothole,QUEENS,11420,,,,ROCKAWAY BOULEVARD,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,0,pothole |  | rockaway boulevard | queens | dot | closed,pavement_surface
REQ-00026,2026-03-23 00:09:08,DOT,Street Condition,Pothole,QUEENS,11434,,,,ROCKAWAY BOULEVARD,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,0,pothole |  | rockaway boulevard | queens | dot | closed,pavement_surface
REQ-00027,2026-03-23 00:08:56,DOT,Street Condition,Pothole,BROOKLYN,11214,,,,BAY PARKWAY,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,0,pothole |  | bay parkway | brooklyn | dot | open,pavement_surface
REQ-00028,2026-03-23 00:08:24,DOT,Street Condition,Pothole,QUEENS,11420,,,,134 STREET,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,0,pothole |  | 134 street | queens | dot | closed,pavement_surface
REQ-00029,2026-03-23 00:07:11,DOT,Street Condition,Pothole,QUEENS,11420,,,,ROCKAWAY BOULEVARD,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,0,pothole |  | rockaway boulevard | queens | dot | open,pavement_surface
REQ-00030,2026-03-23 00:05:56,DOT,Street Condition,Pothole,QUEENS,11420,,,,ROCKAWAY BOULEVARD,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,0,pothole |  | rockaway boulevard | queens | dot | open,pavement_surface
REQ-00031,2026-03-23 00:03:59,DOT,Street Condition,Pothole,BROOKLYN,11204,,,,AVENUE P,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,0,pothole |  | avenue p | brooklyn | dot | open,pavement_surface
REQ-00032,2026-03-23 00:00:20,DOT,Street Condition,Pothole,BROOKLYN,11204,40.60755930224669,-73.98440208402926,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,0,pothole |  |  | brooklyn | dot | open,pavement_surface
REQ-00033,2026-03-22 23:59:06,DOT,Street Condition,Pothole,BROOKLYN,11223,40.602956157937705,-73.98353166659363,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,23,pothole |  |  | brooklyn | dot | open,pavement_surface
REQ-00034,2026-03-22 23:57:20,DOT,Street Condition,Cave-in,QUEENS,11428,,,Street,93 AVENUE,In Progress,,3,23,cave-in | street | 93 avenue | queens | dot | in progress,pavement_surface
REQ-00035,2026-03-22 23:50:38,DOT,Street Condition,Pothole,QUEENS,11361,,,,NORTHERN BOULEVARD,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,23,pothole |  | northern boulevard | queens | dot | open,pavement_surface
REQ-00036,2026-03-22 23:48:38,DOT,Street Condition,Pothole,QUEENS,11691,,,,BEACH CHANNEL DRIVE,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,23,pothole |  | beach channel drive | queens | dot | closed,pavement_surface
REQ-00037,2026-03-22 23:47:00,DOT,Street Condition,Pothole,STATEN ISLAND,10314,40.593482736419304,-74.16439001340188,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,23,pothole |  |  | staten island | dot | open,pavement_surface
REQ-00038,2026-03-22 23:45:00,DEP,Sewer,Sewer Odor (SA2),QUEENS,11416,40.68322748423533,-73.84837594394091,,92 STREET,Open,,3,23,sewer odor (sa2) |  | 92 street | queens | dep | open,water_network
REQ-00039,2026-03-22 23:43:18,DOT,Street Condition,Cave-in,BRONX,10468,40.87263826906201,-73.88849183866502,Street,BEDFORD PARK BOULEVARD,In Progress,,3,23,cave-in | street | bedford park boulevard | bronx | dot | in progress,pavement_surface
REQ-00040,2026-03-22 23:38:45,DOT,Street Condition,Pothole,STATEN ISLAND,10314,,,,VICTORY BOULEVARD,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,23,pothole |  | victory boulevard | staten island | dot | closed,pavement_surface
REQ-00041,2026-03-22 23:36:45,DOT,Street Condition,Pothole,QUEENS,11365,,,,65 AVENUE,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,23,pothole |  | 65 avenue | queens | dot | open,pavement_surface
REQ-00042,2026-03-22 23:32:58,DOT,Street Condition,Pothole,QUEENS,11416,,,,92 STREET,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,23,pothole |  | 92 street | queens | dot | closed,pavement_surface
REQ-00043,2026-03-22 23:32:00,DOT,Street Light Condition,Street Light Out,BROOKLYN,11211,40.7022672283311,-73.95902931032938,,BEDFORD AVENUE,Open,,3,23,street light out |  | bedford avenue | brooklyn | dot | open,lighting
REQ-00044,2026-03-22 23:31:00,DOT,Street Light Condition,Street Light Out,BROOKLYN,11249,,,,WILLIAMSBURG ST EAST,Open,,3,23,street light out |  | williamsburg st east | brooklyn | dot | open,lighting
REQ-00045,2026-03-22 23:30:50,DPR,Damaged Tree,Tree Trunk Split,STATEN ISLAND,10304,40.617166018682624,-74.08484817437153,Street,TARGEE STREET,In Progress,,3,23,tree trunk split | street | targee street | staten island | dpr | in progress,urban_forestry
REQ-00046,2026-03-22 23:29:20,DOT,Street Condition,Pothole,MANHATTAN,10036,,,,WEST   44 STREET,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,23,pothole |  | west   44 street | manhattan | dot | closed,pavement_surface
REQ-00047,2026-03-22 23:28:56,DOT,Street Condition,Pothole,QUEENS,11434,,,,170 STREET,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,23,pothole |  | 170 street | queens | dot | open,pavement_surface
REQ-00048,2026-03-22 23:28:53,DOT,Street Condition,Pothole,QUEENS,11434,40.67767560252,-73.76276378915186,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,23,pothole |  |  | queens | dot | open,pavement_surface
REQ-00049,2026-03-22 23:28:24,DOT,Street Condition,Pothole,STATEN ISLAND,10303,,,,ARLINGTON PLACE,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,23,pothole |  | arlington place | staten island | dot | open,pavement_surface
REQ-00050,2026-03-22 23:27:53,DOT,Street Condition,Pothole,BRONX,10458,,,,BEDFORD PARK BOULEVARD,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,23,pothole |  | bedford park boulevard | bronx | dot | open,pavement_surface
REQ-00051,2026-03-22 23:27:48,DOT,Street Condition,Pothole,MANHATTAN,10002,40.714944724179205,-73.97665020158652,,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,23,pothole |  |  | manhattan | dot | closed,pavement_surface
REQ-00052,2026-03-22 23:27:17,DOT,Street Condition,Pothole,QUEENS,11379,40.7143995934852,-73.89797665860704,,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,23,pothole |  |  | queens | dot | closed,pavement_surface
REQ-00053,2026-03-22 23:26:52,DOT,Sidewalk Condition,Broken Sidewalk,MANHATTAN,10013,40.719623839988785,-74.00862917325122,Sidewalk,HUDSON STREET,In Progress,,3,23,broken sidewalk | sidewalk | hudson street | manhattan | dot | in progress,pedestrian_infrastructure
REQ-00054,2026-03-22 23:24:00,DEP,Water System,Hydrant Leaking (WC1),QUEENS,11367,40.73961867606464,-73.82154034521683,,148 PLACE,Open,,3,23,hydrant leaking (wc1) |  | 148 place | queens | dep | open,water_network
REQ-00055,2026-03-22 23:15:00,DOT,Street Light Condition,Flood Light Lamp Dim,QUEENS,11106,40.75919447100306,-73.92762275826117,,31 STREET,Open,,3,23,flood light lamp dim |  | 31 street | queens | dot | open,lighting
REQ-00056,2026-03-22 23:14:26,DOT,Street Condition,Pothole,MANHATTAN,10036,,,,9 AVENUE,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,23,pothole |  | 9 avenue | manhattan | dot | open,pavement_surface
REQ-00057,2026-03-22 23:13:00,DEP,Sewer,Sewer Backup (Use Comments) (SA),BROOKLYN,11215,40.67592626803196,-73.98335502146028,,CARROLL STREET,Open,,3,23,sewer backup (use comments) (sa) |  | carroll street | brooklyn | dep | open,water_network
REQ-00058,2026-03-22 23:10:58,DOT,Street Condition,Pothole,BROOKLYN,11212,40.66926361514837,-73.9135535153561,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,23,pothole |  |  | brooklyn | dot | open,pavement_surface
REQ-00059,2026-03-22 23:06:31,DOT,Street Condition,Cave-in,BROOKLYN,11220,40.63906479907707,-74.02633548724505,Street,WAKEMAN PLACE,In Progress,,3,23,cave-in | street | wakeman place | brooklyn | dot | in progress,pavement_surface
REQ-00060,2026-03-22 22:56:20,DOT,Street Condition,Pothole,MANHATTAN,10128,40.78451552152521,-73.94982473837051,,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,22,pothole |  |  | manhattan | dot | closed,pavement_surface
REQ-00061,2026-03-22 22:56:00,DOT,Street Condition,Pothole,BRONX,10458,,,,EAST FORDHAM ROAD,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  | east fordham road | bronx | dot | open,pavement_surface
REQ-00062,2026-03-22 22:53:43,DOT,Street Condition,Pothole,QUEENS,11435,,,,JAMAICA AVENUE,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  | jamaica avenue | queens | dot | open,pavement_surface
REQ-00063,2026-03-22 22:53:18,DOT,Street Condition,Pothole,QUEENS,11365,,,,FRANCIS LEWIS BOULEVARD,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,22,pothole |  | francis lewis boulevard | queens | dot | closed,pavement_surface
REQ-00064,2026-03-22 22:52:19,DOT,Street Condition,Pothole,MANHATTAN,10033,40.84893882297593,-73.93707107740241,,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,22,pothole |  |  | manhattan | dot | closed,pavement_surface
REQ-00065,2026-03-22 22:52:08,DOT,Street Condition,Cave-in,BROOKLYN,11237,40.70293606823061,-73.92059684470097,Street,DEKALB AVENUE,In Progress,,3,22,cave-in | street | dekalb avenue | brooklyn | dot | in progress,pavement_surface
REQ-00066,2026-03-22 22:50:27,DOT,Street Condition,Pothole,BRONX,10461,,,,PELHAM PARKWAY,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,22,pothole |  | pelham parkway | bronx | dot | closed,pavement_surface
REQ-00067,2026-03-22 22:50:09,DOT,Street Condition,Line/Marking - Faded,BROOKLYN,11201,40.6991474846209,-73.98688710811888,Street,JAY STREET,In Progress,,3,22,line/marking - faded | street | jay street | brooklyn | dot | in progress,pavement_surface
REQ-00068,2026-03-22 22:49:09,DOT,Street Condition,Pothole,MANHATTAN,10033,40.84893882297593,-73.93707107740241,,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,22,pothole |  |  | manhattan | dot | closed,pavement_surface
REQ-00069,2026-03-22 22:48:48,DOT,Street Condition,Pothole,QUEENS,11361,,,,222 STREET,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  | 222 street | queens | dot | open,pavement_surface
REQ-00070,2026-03-22 22:47:07,DOT,Street Condition,Pothole,MANHATTAN,10033,40.84893882297593,-73.93707107740241,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  |  | manhattan | dot | open,pavement_surface
REQ-00071,2026-03-22 22:46:45,DOT,Street Condition,Plate Condition - Noisy,MANHATTAN,10009,40.73259304097862,-73.97441053156273,Street,EAST 20 STREET,In Progress,,3,22,plate condition - noisy | street | east 20 street | manhattan | dot | in progress,pavement_surface
REQ-00072,2026-03-22 22:46:00,DEP,Sewer,Sewer Odor (SA2),STATEN ISLAND,10314,40.5869951976868,-74.14945777251599,,BEARD STREET,Open,,3,22,sewer odor (sa2) |  | beard street | staten island | dep | open,water_network
REQ-00073,2026-03-22 22:45:38,DOT,Street Condition,Pothole,QUEENS,11005,40.75922930959015,-73.71594461139051,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  |  | queens | dot | open,pavement_surface
REQ-00074,2026-03-22 22:45:24,DOT,Street Condition,Pothole,QUEENS,11368,,,,43 AVENUE,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  | 43 avenue | queens | dot | open,pavement_surface
REQ-00075,2026-03-22 22:45:22,DOT,Street Condition,Pothole,QUEENS,11101,40.74982069975371,-73.94128274836015,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  |  | queens | dot | open,pavement_surface
REQ-00076,2026-03-22 22:45:00,DOT,Street Light Condition,Street Light Out,QUEENS,11365,40.736096019737914,-73.78845340053961,,,Open,,3,22,street light out |  |  | queens | dot | open,lighting
REQ-00077,2026-03-22 22:44:41,DOT,Street Condition,Defective Hardware,MANHATTAN,10003,40.725799292852585,-73.98848014069372,Street,EAST 4 STREET,In Progress,,3,22,defective hardware | street | east 4 street | manhattan | dot | in progress,pavement_surface
REQ-00078,2026-03-22 22:44:25,DOT,Street Condition,Pothole,QUEENS,11101,40.7489827238065,-73.939681044523,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  |  | queens | dot | open,pavement_surface
REQ-00079,2026-03-22 22:44:23,DOT,Street Condition,Pothole,QUEENS,11385,,,,CYPRESS HILLS STREET,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,22,pothole |  | cypress hills street | queens | dot | closed,pavement_surface
REQ-00080,2026-03-22 22:42:17,DOT,Street Condition,Pothole,QUEENS,11375,40.73565806083513,-73.84840457957304,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  |  | queens | dot | open,pavement_surface
REQ-00081,2026-03-22 22:40:57,DOT,Street Condition,Pothole,QUEENS,11375,,,,110 STREET,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,22,pothole |  | 110 street | queens | dot | closed,pavement_surface
REQ-00082,2026-03-22 22:37:06,DOT,Street Condition,Pothole,QUEENS,11420,40.68129301808039,-73.82555426000988,,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,22,pothole |  |  | queens | dot | closed,pavement_surface
REQ-00083,2026-03-22 22:36:19,DOT,Street Condition,Pothole,BROOKLYN,11215,,,,5 AVENUE,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  | 5 avenue | brooklyn | dot | open,pavement_surface
REQ-00084,2026-03-22 22:35:59,DOT,Street Condition,Pothole,BROOKLYN,11220,40.639446181578194,-74.02695178144887,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  |  | brooklyn | dot | open,pavement_surface
REQ-00085,2026-03-22 22:31:31,DSNY,Missed Collection,Recycling - Paper,BROOKLYN,11218,40.63547804607128,-73.97684014054938,Street,EAST 2 STREET,In Progress,,3,22,recycling - paper | street | east 2 street | brooklyn | dsny | in progress,sanitation
REQ-00086,2026-03-22 22:29:11,DOT,Street Condition,Cave-in,BROOKLYN,11208,40.67645134235577,-73.86433707592776,Street,PITKIN AVENUE,In Progress,,3,22,cave-in | street | pitkin avenue | brooklyn | dot | in progress,pavement_surface
REQ-00087,2026-03-22 22:28:02,DOT,Street Condition,Pothole,STATEN ISLAND,10306,,,,JEFFERSON AVENUE,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,22,pothole |  | jefferson avenue | staten island | dot | closed,pavement_surface
REQ-00088,2026-03-22 22:26:00,DEP,Water System,Leak (Use Comments) (WA2),BROOKLYN,11220,40.63953146410764,-74.00710547863153,,54 STREET,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,22,leak (use comments) (wa2) |  | 54 street | brooklyn | dep | closed,water_network
REQ-00089,2026-03-22 22:20:37,DOT,Street Condition,Pothole,BRONX,10468,,,,BEDFORD PARK BOULEVARD,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  | bedford park boulevard | bronx | dot | open,pavement_surface
REQ-00090,2026-03-22 22:20:34,DOT,Street Condition,Pothole,QUEENS,11101,,,,29 STREET,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  | 29 street | queens | dot | open,pavement_surface
REQ-00091,2026-03-22 22:20:04,DOT,Street Condition,Pothole,MANHATTAN,10032,,,,BROADWAY,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  | broadway | manhattan | dot | open,pavement_surface
REQ-00092,2026-03-22 22:19:17,DOT,Street Condition,Pothole,MANHATTAN,10032,,,,BROADWAY,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  | broadway | manhattan | dot | open,pavement_surface
REQ-00093,2026-03-22 22:18:57,DOT,Street Condition,Pothole,STATEN ISLAND,10304,,,,KIMBERLY LANE,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  | kimberly lane | staten island | dot | open,pavement_surface
REQ-00094,2026-03-22 22:18:32,DOT,Street Condition,Pothole,MANHATTAN,10032,,,,BROADWAY,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,22,pothole |  | broadway | manhattan | dot | closed,pavement_surface
REQ-00095,2026-03-22 22:16:18,DPR,Damaged Tree,Entire Tree Has Fallen Down,QUEENS,11369,40.7615140411734,-73.86182828809318,Street,BUELL STREET,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",3,22,entire tree has fallen down | street | buell street | queens | dpr | in progress,urban_forestry
REQ-00096,2026-03-22 22:08:19,DOT,Street Condition,Pothole,BROOKLYN,11208,40.67423324364069,-73.86176396770561,,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,22,pothole |  |  | brooklyn | dot | closed,pavement_surface
REQ-00097,2026-03-22 22:08:13,DOT,Street Condition,Pothole,BRONX,10462,40.84923865308044,-73.86920769795903,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  |  | bronx | dot | open,pavement_surface
REQ-00098,2026-03-22 22:04:10,DOT,Sidewalk Condition,Pedestrian Ramp Defective,QUEENS,11355,40.7423427900768,-73.81540899668325,Sidewalk,58 AVENUE,In Progress,,3,22,pedestrian ramp defective | sidewalk | 58 avenue | queens | dot | in progress,pedestrian_infrastructure
REQ-00099,2026-03-22 22:03:20,DOT,Street Condition,Pothole,STATEN ISLAND,10301,,,,SENECA AVENUE,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  | seneca avenue | staten island | dot | open,pavement_surface
REQ-00100,2026-03-22 22:02:58,DOT,Street Condition,Pothole,STATEN ISLAND,10303,,,,FOREST AVENUE,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,22,pothole |  | forest avenue | staten island | dot | open,pavement_surface
REQ-00101,2026-03-22 21:59:00,DOT,Street Light Condition,Street Light Out,MANHATTAN,10001,40.744532273451554,-73.9888702675778,,,Open,,3,21,street light out |  |  | manhattan | dot | open,lighting
REQ-00102,2026-03-22 21:58:35,DOT,Street Condition,Pothole,QUEENS,11435,40.70970983860853,-73.81341813450368,,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,21,pothole |  |  | queens | dot | closed,pavement_surface
REQ-00103,2026-03-22 21:57:52,DPR,Damaged Tree,Tree Alive - in Poor Condition,BRONX,10470,40.90304365410817,-73.84954936671039,Street,EAST 241 STREET,In Progress,,3,21,tree alive - in poor condition | street | east 241 street | bronx | dpr | in progress,urban_forestry
REQ-00104,2026-03-22 21:56:05,DOT,Street Condition,Pothole,QUEENS,11377,40.75399198425718,-73.90030181847571,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,21,pothole |  |  | queens | dot | open,pavement_surface
